qname	rname	start_outer_1based	end_outer_1based	flag	qual_sum	real_len	mapq	cigar	category
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1115:7212:94308c	Y	6670422	6670477	16	2948	55	37	39M1D16M	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1113:20488:3382c	Y	14103195	14103260	16	3720	62	37	40M4D20M2S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1105:11133:101191c	Y	14293400	14293447	16	2640	44	37	19M4D22M3S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1116:1565:69160c	Y	15385817	15385880	16	3600	60	37	44M4D14M2S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1113:4701:12593	Y	17462926	17462976	16	2940	49	37	36M2D12M1S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1211:8510:46936	Y	17488773	17488837	16	3717	62	37	46M3D14M2S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1105:3556:60397	Y	17577563	17577609	16	2648	45	37	36M1I6M3D1M1S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2103:19074:57983c	Y	17632686	17632733	16	2640	44	37	27M4D14M3S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2107:6351:45188	Y	18246070	18246115	16	2520	42	37	23M4D17M2S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1205:7986:44226	Y	19336598	19336680	16	4585	79	37	61M4D15M3S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2215:14251:72749	Y	19398330	19398393	16	3668	62	37	57M2D4M1S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1113:15827:42814	Y	21625881	21625956	16	4440	74	37	1S2M1D50M1D21M	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2207:21259:89076	Y	21700001	21700084	16	4518	81	37	58M2D17M1D5M1S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2103:4276:56639	Y	2651359	2651397	16	2340	39	37	39M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1212:15335:34098	Y	2651788	2651896	16	5094	109	37	109M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2209:11520:26120	Y	2651788	2651897	16	5154	110	37	110M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2206:16143:72244	Y	2651788	2651898	16	5031	111	37	111M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1101:11855:23585c	Y	2651788	2651899	16	6693	112	37	112M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2113:2914:37873c	Y	2651788	2651900	16	6713	113	37	113M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1105:10451:48936c	Y	2651788	2651902	16	6739	115	37	115M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1112:4473:10726c	Y	2655314	2655371	16	3300	58	32	58M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1212:3640:96179	Y	2655415	2655476	16	3720	62	37	62M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1205:8773:62324c	Y	2655415	2655488	16	4380	74	37	74M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2112:9822:82525	Y	2656312	2656366	16	3300	55	37	55M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1101:12903:61946c	Y	2657491	2657529	16	2340	39	37	39M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2207:13834:84151	Y	2660023	2660060	16	2280	38	37	38M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2114:13116:50908	Y	2661326	2661371	16	2692	46	37	46M	start_equal
