qname	rname	start_outer_1based	end_outer_1based	flag	qual_sum	real_len	mapq	cigar	category
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1102:15882:89929c	Y	2846621	2846670	0	2820	47	37	2S5M3D40M	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2209:2675:72223	Y	7608772	7608826	0	3180	53	37	1S4M1D41M1D7M	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1213:4157:30656	Y	7907926	7907987	0	3600	60	37	1S6M2D53M	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1101:9022:59058	Y	8471909	8471961	0	3060	51	37	1S3M2D47M	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1112:5745:12531c	Y	9644986	9645025	0	2280	38	37	1S4M2D33M	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2103:18284:41222	Y	18398702	18398761	0	3051	58	37	41M1D11M1D5M1S	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2109:7540:52541	Y	19397338	19397425	0	4704	86	37	1S6M2D79M	both_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1208:4526:39938c	Y	2655017	2655088	0	4140	72	32	72M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1101:10668:23293c	Y	2655017	2655089	0	4380	73	37	73M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1101:12524:14398c	Y	2655255	2655295	0	2460	41	37	41M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1101:2737:72091c	Y	2655689	2655727	0	2340	39	37	39M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2209:10115:23046	Y	2656464	2656523	0	3651	61	37	53M1I7M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1101:21090:10006c	Y	2656464	2656524	0	3660	61	25	61M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:2103:16715:100016	Y	2656634	2656676	0	2580	43	37	43M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1101:11622:63198c	Y	2657196	2657259	0	3840	64	37	64M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1113:13244:25483	Y	2658991	2659084	0	4611	94	37	94M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1102:4520:63176c	Y	2659617	2659677	0	3660	61	37	61M	start_equal
D00829_0064_AHNVL5BCXY_R_PEdi_F5281_F5282:2:1103:1654:83595	Y	2660545	2660614	0	3556	70	37	70M	start_equal
